Date,ColorKey,LocationKey,Value
2017-09-07,5,2,145.34
2020-11-16,1,3,1008.67
2021-12-18,2,4,938.81
2016-11-25,3,5,219.36
2014-10-02,4,6,197.44
2021-08-12,5,7,128.04
2018-06-09,1,8,1946.92
2014-06-09,2,9,916.37
2015-04-17,3,1,235.55
2013-06-06,4,2,140.2
2013-06-20,5,3,213.11
2018-06-20,1,4,1001.77
2019-07-07,2,5,873.88
2016-06-20,3,6,214.3
2021-03-12,4,7,141.54
2020-11-07,5,8,418.58
2020-11-14,1,9,1023.74
2018-03-22,2,1,920.5
2018-07-01,3,2,146.51
2016-03-21,4,3,166.12
2022-05-23,5,4,231.87
2019-04-27,1,5,988.37
2018-06-07,2,6,913.81
2013-08-25,3,7,112.02
2021-10-23,4,8,451.12
2013-10-03,5,9,225.78
2015-04-09,1,1,1037.43
2020-05-19,2,2,434.6
2014-06-25,3,3,184.14
2017-04-28,4,4,191.79
2021-09-08,5,5,191.8
2022-03-14,1,6,973.93
2020-08-26,2,7,868.13
2018-04-03,3,8,354.44
2018-04-18,4,9,224.74
2020-07-09,5,1,235.05
2018-12-13,1,2,542.68
2014-10-15,2,3,882.17
2021-08-09,3,4,176.93
2018-04-22,4,5,163.94
2014-03-11,5,6,236.13
2021-12-14,1,7,910.25
2018-04-01,2,8,1869.64
2019-09-01,3,9,218.81
2020-03-18,4,1,265.19
2022-05-20,5,2,53.09
2021-05-24,1,3,970.19
2013-12-06,2,4,917.21
2019-07-29,3,5,228.79
2022-05-31,4,6,164.72
2015-12-06,5,7,146.36
2020-11-17,1,8,2041.96
2018-06-11,2,9,852.54
2016-08-25,3,1,228.15
2014-12-29,4,2,119.44
2016-09-19,5,3,208.34
2013-09-15,1,4,1015.52
2018-11-21,2,5,901.97
2020-10-15,3,6,166.01
2021-04-11,4,7,137.84
2021-11-26,5,8,415.7
2018-11-20,1,9,1019.6
2019-10-05,2,1,949.01
2021-07-16,3,2,131.72
2021-09-11,4,3,186.79
2021-11-24,5,4,237.28
2020-12-12,1,5,1005.76
2018-06-21,2,6,910.86
2013-11-13,3,7,115.01
2020-02-04,4,8,346.44
2022-04-17,5,9,164.08
2020-04-16,1,1,1003.32
2016-09-28,2,2,452.71
2013-02-09,3,3,194.03
2021-12-05,4,4,242.42
2019-02-28,5,5,205.18
2014-11-02,1,6,983.01
2016-10-25,2,7,890.23
2021-09-14,3,8,407.42
2020-04-15,4,9,222.49
2019-06-01,5,1,282.15
2016-08-23,1,2,451.8
2022-11-05,2,3,907.78
2015-11-04,3,4,208.71
2014-07-03,4,5,215.49
2014-02-24,5,6,251.67
2022-01-13,1,7,985.58
2018-01-26,2,8,1809.23
2022-07-14,3,9,207.85
2020-06-04,4,1,201.01
2013-10-18,5,2,56.69
2014-11-19,1,3,1050.16
2020-07-28,2,4,863.85
2022-01-17,3,5,187.61
2022-04-24,4,6,193.12
2014-09-20,5,7,183.16
2016-01-21,1,8,2003.84
2019-01-04,2,9,844.37
2021-05-26,3,1,191.52
2018-07-15,4,2,117.6
2017-05-09,5,3,163.95
2013-06-04,1,4,1025.09
2021-03-18,2,5,844.58
2021-05-21,3,6,194.39
2018-03-25,4,7,154.69
2016-01-27,5,8,381.39
2018-03-30,1,9,963.13
2020-02-12,2,1,976.92
2014-02-01,3,2,152.87
2021-12-26,4,3,151.19
2021-02-10,5,4,152.92
2020-12-21,1,5,997.06
2021-03-16,2,6,934.97
2021-11-13,3,7,159.64
2016-09-15,4,8,466.15
2015-04-26,5,9,171.12
2016-05-06,1,1,1014.87
2016-06-19,2,2,431.36
2014-10-31,3,3,233.47
2014-02-23,4,4,219.0
2019-01-31,5,5,167.32
2021-08-10,1,6,960.95
2015-09-23,2,7,899.78
2013-07-27,3,8,348.06
2022-05-14,4,9,150.46
2015-03-20,5,1,214.34
2021-06-09,1,2,483.12
2020-12-14,2,3,882.65
2015-10-26,3,4,188.84
2016-03-11,4,5,189.53
2022-04-01,5,6,172.1
2015-05-19,1,7,940.48
2014-12-06,2,8,1797.97
2020-02-17,3,9,222.86
2017-05-14,4,1,230.53
2021-07-22,5,2,91.42
2016-11-09,1,3,959.1
2021-01-23,2,4,882.45
2022-08-20,3,5,197.45
2017-03-25,4,6,210.42
2022-01-12,5,7,169.74
2019-07-25,1,8,1981.86
2018-03-10,2,9,950.4
2014-01-22,3,1,174.48
2017-08-21,4,2,98.22
2017-08-14,5,3,135.62
2015-12-15,1,4,961.97
2021-11-16,2,5,870.79
2021-01-29,3,6,181.63
2013-12-28,4,7,177.0
2022-12-17,5,8,352.36
2015-08-21,1,9,973.84
2021-01-15,2,1,965.75
2015-10-25,3,2,132.32
2013-09-17,4,3,172.41
2016-11-18,5,4,213.92
2022-06-07,1,5,1035.7
2021-03-23,2,6,919.84
2021-11-11,3,7,105.73
2018-06-13,4,8,434.79
2022-09-15,5,9,197.77
2022-06-27,1,1,1041.11
2014-10-26,2,2,431.2
2013-04-29,3,3,172.76
2014-12-10,4,4,232.92
2013-04-26,5,5,229.06
2013-04-11,1,6,1026.99
2013-01-20,2,7,797.46
2016-01-07,3,8,462.15
2022-10-04,4,9,184.78
2013-10-01,5,1,189.2
2021-06-04,1,2,509.1
2014-03-13,2,3,862.73
2017-02-05,3,4,170.89
2013-11-02,4,5,220.19
2018-11-25,5,6,243.75
2022-05-28,1,7,918.22
2020-12-15,2,8,1768.03
2013-06-16,3,9,181.54
2015-07-29,4,1,258.46
2020-06-02,5,2,71.98
2021-03-05,1,3,989.75
2020-06-30,2,4,907.35
2021-11-23,3,5,171.31
2021-04-15,4,6,162.76
2017-12-19,5,7,142.75
2020-01-01,1,8,1961.66
2018-12-28,2,9,853.58
2017-07-12,3,1,178.22
2016-11-30,4,2,144.21
2016-10-07,5,3,217.05
2022-10-19,1,4,1001.0
2020-03-31,2,5,914.5
2015-02-23,3,6,213.19
2015-03-09,4,7,123.8
2016-10-04,5,8,380.27
2016-01-14,1,9,1032.96
2017-04-10,2,1,954.2
2020-06-07,3,2,123.92
2016-07-10,4,3,205.13
2022-11-03,5,4,222.62
2017-10-16,1,5,956.9
2018-06-25,2,6,867.63
2015-04-18,3,7,156.96
2015-06-27,4,8,471.62
2014-04-26,5,9,148.84
2019-09-22,1,1,991.8
2020-09-07,2,2,455.96
2019-03-29,3,3,204.51
2016-12-13,4,4,214.4
2021-03-22,5,5,179.93
2019-03-22,1,6,958.9
2022-06-26,2,7,865.91
2013-02-26,3,8,392.61
2018-01-18,4,9,250.59
2020-06-01,5,1,222.44
2018-04-05,1,2,458.71
2018-08-16,2,3,900.08
2021-05-13,3,4,149.78
2017-10-29,4,5,211.35
2015-09-14,5,6,244.28
2020-02-07,1,7,998.37
2016-04-22,2,8,1866.45
2018-06-18,3,9,227.1
2022-09-08,4,1,254.54
2016-09-22,5,2,136.62
2015-08-14,1,3,1029.73
2021-06-13,2,4,923.66
2014-02-21,3,5,177.96
2014-11-04,4,6,232.64
2022-10-10,5,7,116.76
2022-06-18,1,8,1997.34
2021-09-19,2,9,880.46
2019-12-11,3,1,221.54
2021-05-12,4,2,152.89
2019-10-19,5,3,176.11
2022-01-23,1,4,1014.14
2018-01-14,2,5,933.26
2022-03-08,3,6,252.21
2013-03-04,4,7,155.49
2022-06-13,5,8,342.62
2016-06-04,1,9,979.7
2020-06-08,2,1,957.68
2022-09-28,3,2,88.11
2021-10-14,4,3,227.52
2017-02-28,5,4,248.88
2022-10-05,1,5,1020.83
2015-11-06,2,6,864.46
2017-05-22,3,7,180.55
2014-04-24,4,8,416.4
2017-07-20,5,9,218.68
2017-05-31,1,1,997.56
2015-08-17,2,2,501.12
2017-08-15,3,3,188.15
2015-05-03,4,4,144.06
2019-08-15,5,5,199.84
2015-10-27,1,6,1032.09
2021-11-01,2,7,841.4
2013-12-14,3,8,352.8
2015-12-07,4,9,241.82
2019-05-18,5,1,259.41
2016-02-25,1,2,540.19
2014-06-16,2,3,860.03
2021-11-21,3,4,237.61
2013-02-10,4,5,236.51
2021-12-11,5,6,181.78
2018-08-14,1,7,972.79
2020-11-26,2,8,1832.17
2016-11-21,3,9,175.04
2015-01-23,4,1,226.6
2018-04-08,5,2,90.67
2013-09-03,1,3,1051.04
2019-08-18,2,4,919.73
2013-10-23,3,5,180.68
2016-06-05,4,6,232.99
2016-11-26,5,7,173.98
2018-11-28,1,8,1969.5
2013-11-27,2,9,909.56
2014-01-30,3,1,169.44
2018-11-24,4,2,64.09
2022-09-05,5,3,190.82
2020-08-19,1,4,967.6
2020-07-01,2,5,864.17
2019-12-04,3,6,173.23
2017-03-02,4,7,145.33
2020-01-12,5,8,375.09
2019-03-19,1,9,971.6
2022-04-09,2,1,880.07
2013-10-13,3,2,145.68
2015-05-15,4,3,163.29
2015-03-18,5,4,227.55
2016-01-20,1,5,1039.9
2021-05-10,2,6,907.47
2020-08-02,3,7,176.98
2017-03-27,4,8,394.39
2017-11-11,5,9,226.02
2015-04-07,1,1,1046.61
2021-04-19,2,2,410.56
2022-01-01,3,3,192.84
2020-04-07,4,4,135.88
2017-09-18,5,5,241.68
2020-07-04,1,6,1028.36
2020-02-08,2,7,844.47
2018-01-30,3,8,376.08
2013-01-18,4,9,200.23
2020-02-11,5,1,234.8
2021-11-14,1,2,548.62
2015-06-23,2,3,846.98
2018-10-12,3,4,195.38
2013-01-26,4,5,227.68
2016-12-09,5,6,218.45
2021-03-08,1,7,908.45
2019-07-04,2,8,1845.67
2022-10-17,3,9,174.77
2020-03-29,4,1,226.35
2013-01-12,5,2,87.06
2021-08-28,1,3,1033.45
2015-12-22,2,4,936.24
2016-02-03,3,5,212.77
2015-07-06,4,6,254.11
2018-05-26,5,7,166.25
2018-10-30,1,8,1996.79
2020-07-11,2,9,937.16
2019-03-17,3,1,233.02
2018-10-01,4,2,49.33
2022-08-10,5,3,154.6
2020-03-13,1,4,966.19
2016-08-01,2,5,913.01
2018-03-05,3,6,236.94
2015-10-19,4,7,184.2
2013-06-10,5,8,344.29
2016-01-10,1,9,976.44
2017-06-08,2,1,924.86
2018-02-19,3,2,103.63
2014-03-31,4,3,192.7
2022-08-17,5,4,193.16
2015-08-19,1,5,1057.37
2017-05-04,2,6,938.64
2013-07-14,3,7,140.46
2019-09-05,4,8,358.35
2021-05-17,5,9,238.32
2021-08-17,1,1,1074.34
2013-08-02,2,2,468.14
2021-07-29,3,3,229.11
2013-11-18,4,4,215.04
2016-12-06,5,5,213.41
2021-07-25,1,6,962.54
2014-04-17,2,7,888.85
2015-02-26,3,8,418.36
2019-03-15,4,9,165.01
2021-02-20,5,1,244.23
2021-06-11,1,2,532.04
2018-08-06,2,3,906.85
2018-07-30,3,4,153.39
2017-09-30,4,5,180.71
2022-03-19,5,6,153.25
2014-08-14,1,7,942.53
2020-08-14,2,8,1772.04
2020-07-07,3,9,162.09
2021-07-17,4,1,254.8
2016-04-10,5,2,88.88
2013-06-07,1,3,995.12
2019-10-15,2,4,866.12
2022-12-18,3,5,184.0
2016-07-22,4,6,173.28
2013-01-19,5,7,164.17
2017-06-12,1,8,2022.58
2018-05-01,2,9,954.62
2016-09-27,3,1,212.32
2020-05-02,4,2,64.48
2020-08-31,5,3,163.9
2019-01-17,1,4,1043.09
2019-07-11,2,5,915.61
2016-06-10,3,6,220.26
2015-04-19,4,7,215.64
2017-07-09,5,8,412.83
2019-03-18,1,9,1024.15
2017-05-08,2,1,958.16
2019-08-14,3,2,153.41
2017-10-06,4,3,196.08
2015-11-20,5,4,181.94
2015-07-16,1,5,962.72
2021-09-30,2,6,926.27
2018-10-26,3,7,135.3
2020-09-22,4,8,398.53
2017-06-16,5,9,156.7
2015-06-09,1,1,993.61
2017-06-02,2,2,497.02
2018-03-08,3,3,217.04
2013-03-29,4,4,183.36
2015-09-02,5,5,215.78
2016-02-04,1,6,1031.91
2019-10-13,2,7,885.62
2022-09-22,3,8,452.31
2021-02-26,4,9,156.61
2019-05-16,5,1,257.81
2016-02-20,1,2,498.3
2020-09-01,2,3,917.59
2020-01-26,3,4,187.8
2021-01-03,4,5,247.84
2022-12-25,5,6,174.06
2013-09-26,1,7,940.31
2015-04-15,2,8,1789.8
2013-11-01,3,9,171.69
2018-11-29,4,1,182.87
2017-09-27,5,2,123.2
2019-02-01,1,3,959.56
2022-05-24,2,4,945.6
2021-06-06,3,5,161.52
2014-07-11,4,6,183.91
2020-05-12,5,7,160.19
2019-10-16,1,8,2042.9
2015-11-08,2,9,908.59
2015-01-01,3,1,185.95
2016-06-30,4,2,95.95
2019-06-23,5,3,229.12
2014-09-08,1,4,1027.85
2018-05-06,2,5,934.39
2017-06-18,3,6,164.94
2018-06-01,4,7,165.22
2017-06-10,5,8,441.91
2014-04-09,1,9,965.84
2018-12-04,2,1,899.38
2017-06-29,3,2,116.95
2019-05-11,4,3,155.92
2014-01-28,5,4,177.28
2021-07-21,1,5,1030.67
2016-10-10,2,6,860.79
2022-07-18,3,7,138.96
2022-11-13,4,8,471.68
2018-02-12,5,9,241.42
2022-11-11,1,1,1045.3
2015-02-13,2,2,476.44
2015-10-15,3,3,203.43
2021-01-05,4,4,193.09
2018-06-30,5,5,146.44
2022-02-06,1,6,967.81
2015-06-05,2,7,803.58
2016-04-18,3,8,399.82
2014-11-23,4,9,161.64
2016-02-17,5,1,194.1
2019-06-11,1,2,455.81
2015-10-30,2,3,893.89
2013-07-23,3,4,229.23
2020-10-27,4,5,206.46
2018-07-24,5,6,155.64
2013-02-16,1,7,940.13
2014-11-27,2,8,1806.3
2016-03-02,3,9,211.33
2018-02-21,4,1,202.62
2022-10-26,5,2,97.2
2021-12-27,1,3,1016.67
2016-11-16,2,4,878.42
2016-05-16,3,5,197.29
2022-02-28,4,6,231.93
2022-11-27,5,7,162.69
2016-05-20,1,8,1951.68
2014-04-03,2,9,903.67
2016-04-24,3,1,233.26
2021-12-20,4,2,97.67
2021-07-02,5,3,174.52
2020-06-21,1,4,1035.66
2013-02-04,2,5,877.28
2018-08-12,3,6,221.0
2018-05-11,4,7,160.85
2021-05-20,5,8,413.61
2016-12-21,1,9,981.12
2014-02-14,2,1,949.93
2020-10-08,3,2,89.37
2019-05-03,4,3,223.11
2014-10-06,5,4,194.75
2020-01-31,1,5,1019.63
2020-01-09,2,6,866.64
2014-11-08,3,7,178.41
2016-11-20,4,8,404.29
2020-08-27,5,9,147.83
2019-11-30,1,1,1040.63
2020-12-01,2,2,478.92
2019-07-22,3,3,231.9
2020-10-21,4,4,249.41
2014-05-16,5,5,146.37
2014-05-18,1,6,1001.2
2019-08-21,2,7,860.18
2020-11-29,3,8,415.78
2014-05-13,4,9,157.37
2021-04-28,5,1,208.56
2018-11-02,1,2,524.64
2019-11-03,2,3,938.32
2017-09-16,3,4,223.51
2018-09-27,4,5,252.62
2017-10-12,5,6,234.75
2016-10-16,1,7,928.31
2013-06-15,2,8,1798.86
2015-10-31,3,9,195.91
2018-06-17,4,1,163.28
2014-04-27,5,2,137.23
2014-04-08,1,3,1057.68
2022-08-07,2,4,909.1
2016-03-23,3,5,254.43
2014-04-30,4,6,212.32
2013-06-13,5,7,142.88
2021-01-14,1,8,2006.94
2018-09-18,2,9,902.14
2013-09-24,3,1,262.24
2018-08-30,4,2,109.34
2014-05-12,5,3,253.91
2017-04-03,1,4,952.97
2020-02-02,2,5,923.46
2013-04-14,3,6,152.59
2021-03-17,4,7,167.65
2022-12-24,5,8,355.52
2013-12-21,1,9,1039.04
2015-12-04,2,1,902.98
2015-01-07,3,2,104.14
2015-02-02,4,3,199.8
2022-04-28,5,4,193.05
2021-03-15,1,5,967.79
2022-10-21,2,6,961.16
2017-12-01,3,7,130.15
2022-03-03,4,8,390.6
2014-11-05,5,9,195.71
2017-05-24,1,1,1066.99
2017-09-26,2,2,468.35
2014-03-14,3,3,156.89
2022-06-12,4,4,230.36
2014-04-21,5,5,168.49
2013-08-31,1,6,1032.07
2022-12-22,2,7,874.63
2016-06-27,3,8,371.14
2018-12-17,4,9,221.28
2019-08-28,5,1,194.86
2014-11-03,1,2,468.8
2013-05-27,2,3,886.39
2013-01-31,3,4,181.42
2016-04-04,4,5,213.13
2019-04-05,5,6,194.08
2015-12-23,1,7,930.95
2021-03-13,2,8,1793.77
2019-10-12,3,9,185.83
2020-06-15,4,1,263.7
2015-09-05,5,2,136.71
2022-12-12,1,3,1039.49
2015-12-12,2,4,917.48
2015-02-17,3,5,242.72
2017-11-22,4,6,245.65
2014-06-22,5,7,143.08
2014-06-04,1,8,2020.02
2021-02-06,2,9,921.95
2013-03-02,3,1,204.56
2019-02-03,4,2,68.98
2022-09-20,5,3,194.3
2022-08-13,1,4,960.4
2017-12-30,2,5,884.21
2021-07-03,3,6,181.97
2018-01-29,4,7,141.36
2017-07-11,5,8,380.96
2021-09-22,1,9,1038.19
2020-03-22,2,1,956.21
2016-08-30,3,2,61.87
2015-04-23,4,3,228.79
2014-01-26,5,4,128.15
2014-10-11,1,5,999.0
2017-02-07,2,6,888.78
2020-02-19,3,7,135.18
2020-03-03,4,8,477.19
2017-03-09,5,9,163.72
2022-11-29,1,1,967.33
2021-12-13,2,2,469.89
2022-05-01,3,3,218.58
2021-08-06,4,4,161.54
2016-07-21,5,5,215.53
2018-03-13,1,6,1025.95
2017-10-07,2,7,803.93
2015-01-02,3,8,444.72
2016-03-05,4,9,193.76
2018-11-01,5,1,257.63
2021-04-29,1,2,473.27
2016-06-14,2,3,953.47
2020-04-29,3,4,241.74
2013-04-23,4,5,236.33
2016-08-13,5,6,237.21
2021-04-05,1,7,913.2
2020-04-02,2,8,1801.03
2015-09-01,3,9,180.32
2015-07-25,4,1,269.16
2021-03-10,5,2,107.35
2022-12-14,1,3,978.38
2020-11-11,2,4,954.18
2019-06-04,3,5,176.24
2019-09-14,4,6,190.66
2019-07-19,5,7,115.92
2015-08-18,1,8,1965.15
2020-09-25,2,9,872.91
2016-12-04,3,1,166.5
2014-08-21,4,2,140.77
2016-08-29,5,3,235.93
2021-10-31,1,4,986.08
2013-12-24,2,5,869.22
2017-05-20,3,6,243.32
2016-02-19,4,7,147.99
2022-01-27,5,8,416.96
2017-10-15,1,9,985.47
2022-06-16,2,1,945.11
2019-11-02,3,2,114.62
2020-08-06,4,3,208.01
2019-01-23,5,4,188.61
2015-04-13,1,5,933.32
2015-03-26,2,6,870.32
2019-07-17,3,7,162.37
2022-06-05,4,8,429.6
2022-09-13,5,9,149.98
2022-01-15,1,1,1020.86
2015-01-03,2,2,423.12
2014-03-10,3,3,214.08
2014-09-07,4,4,231.61
2020-09-18,5,5,147.77
2018-11-06,1,6,959.67
2022-05-27,2,7,875.53
2017-08-02,3,8,423.3
2019-05-23,4,9,189.08
2019-11-27,5,1,224.01
2015-10-07,1,2,507.75
2015-11-30,2,3,917.42
2018-05-28,3,4,218.36
2021-08-03,4,5,170.9
2015-05-25,5,6,168.82
2021-07-18,1,7,982.16
2019-07-24,2,8,1859.36
2021-06-14,3,9,218.94
2021-10-13,4,1,207.78
2017-06-06,5,2,128.31
2020-05-14,1,3,954.73
2022-11-12,2,4,940.5
2018-09-05,3,5,196.4
2019-06-27,4,6,178.59
2015-12-29,5,7,160.53
2018-01-27,1,8,1960.06
2020-06-23,2,9,885.1
2018-11-23,3,1,213.46
2020-03-27,4,2,138.98
2021-12-29,5,3,155.15
2017-06-17,1,4,1051.96
2018-09-01,2,5,859.34
2018-07-31,3,6,217.59
2020-06-13,4,7,104.03
2013-11-29,5,8,416.35
2019-08-05,1,9,984.68
2021-02-24,2,1,935.18
2015-10-13,3,2,104.63
2022-06-08,4,3,206.91
2019-04-15,5,4,167.78
2021-07-06,1,5,1006.12
2014-03-01,2,6,892.28
2019-12-22,3,7,93.1
2021-11-20,4,8,361.14
2016-12-23,5,9,232.9
2019-11-28,1,1,1008.7
2017-12-21,2,2,402.0
2016-07-16,3,3,154.42
2020-10-18,4,4,187.39
2014-06-21,5,5,220.08
2013-01-30,1,6,958.35
2020-01-22,2,7,807.92
2018-10-24,3,8,388.43
2020-01-30,4,9,191.88
2022-03-09,5,1,210.86
2021-12-17,1,2,485.6
2021-09-27,2,3,927.2
2019-09-27,3,4,156.19
2022-12-29,4,5,196.49
2016-10-20,5,6,171.6
2021-12-08,1,7,898.52
2021-03-30,2,8,1871.81
2017-01-31,3,9,161.38
2016-09-07,4,1,237.67
2022-07-15,5,2,131.4
2018-12-03,1,3,1028.43
2017-06-23,2,4,918.01
2020-02-29,3,5,220.4
2020-03-19,4,6,202.79
2016-04-03,5,7,96.15
2014-10-25,1,8,1960.01
2020-03-09,2,9,909.99
2016-07-08,3,1,207.2
2014-12-07,4,2,111.41
2015-05-05,5,3,145.84
2021-01-26,1,4,1021.91
2019-10-29,2,5,857.85
2022-06-19,3,6,141.07
2014-06-01,4,7,154.16
2022-05-03,5,8,390.14
2021-04-01,1,9,1018.07
2019-07-26,2,1,925.14
2013-07-24,3,2,129.09
2015-03-24,4,3,211.64
2019-06-06,5,4,211.45
2021-09-06,1,5,1005.9
2021-06-17,2,6,895.38
2021-08-01,3,7,171.53
2013-02-21,4,8,363.25
2022-12-03,5,9,204.74
2022-09-30,1,1,1029.1
2022-06-30,2,2,454.23
2019-12-02,3,3,207.42
2014-01-13,4,4,198.09
2021-04-26,5,5,191.72
2022-07-13,1,6,960.82
2022-01-05,2,7,876.35
2017-07-01,3,8,431.06
2019-07-21,4,9,212.91
2016-12-03,5,1,155.78
2019-01-14,1,2,512.7
2017-12-31,2,3,852.29
2022-08-15,3,4,182.64
2017-06-15,4,5,232.19
2019-05-17,5,6,242.74
2022-12-08,1,7,996.15
2015-10-12,2,8,1741.14
2016-05-02,3,9,169.02
2017-04-13,4,1,253.89
2019-11-12,5,2,76.89
2018-09-20,1,3,1012.08
2019-12-14,2,4,894.07
2014-07-29,3,5,244.54
2018-02-10,4,6,187.31
2020-02-03,5,7,129.97
2013-12-23,1,8,2010.37
2016-07-28,2,9,857.8
2018-11-14,3,1,210.79
2016-04-16,4,2,142.24
2015-06-17,5,3,162.38
2014-02-19,1,4,1006.4
2022-03-11,2,5,870.32
2016-04-23,3,6,253.14
2014-04-28,4,7,105.85
2017-11-09,5,8,418.95
2019-06-25,1,9,976.52
2020-12-11,2,1,884.41
2017-02-04,3,2,81.13
2016-07-17,4,3,216.93
2019-03-01,5,4,198.31
2022-09-11,1,5,1004.93
2022-06-06,2,6,879.84
2017-08-05,3,7,175.32
2019-05-07,4,8,349.36
2018-10-13,5,9,227.24
2015-02-27,1,1,1011.47
2019-06-13,2,2,465.88
2015-08-06,3,3,240.02
2013-06-14,4,4,171.85
2015-11-18,5,5,152.91
2015-12-27,1,6,990.99
2018-05-15,2,7,868.46
2020-11-13,3,8,368.32
2022-12-02,4,9,185.96
2021-08-26,5,1,271.56
2014-08-30,1,2,524.08
2017-12-04,2,3,912.21
2018-11-17,3,4,194.09
2018-01-07,4,5,183.25
2018-02-20,5,6,202.65
2013-12-29,1,7,1008.59
2014-11-07,2,8,1883.81
2021-03-29,3,9,241.26
2013-09-10,4,1,216.21
2022-07-09,5,2,76.86
2013-07-02,1,3,962.0
2013-06-01,2,4,877.5
2014-08-26,3,5,212.91
